date,store_id,product_sku,category,units_received,units_sold,units_wasted,unit_cost
2025-10-05,S-08,BK-005,Bakery,45,39,3,6.29
2025-11-14,S-05,BK-005,Bakery,48,46,1,6.29
2025-11-21,S-06,FZ-003,Frozen,28,25,1,2.99
2025-12-22,S-09,SN-001,Snacks,106,102,2,4.29
2025-10-04,S-02,FZ-002,Frozen,42,41,1,5.49
2025-10-14,S-10,SN-003,Snacks,64,60,1,5.49
2025-12-17,S-09,DA-003,Dairy,69,62,6,6.99
2025-11-02,S-01,HL-001,Health,75,74,0,14.99
2025-11-16,S-07,FP-005,Fresh Produce,105,37,66,6.49
2025-12-24,S-02,HL-002,Health,58,54,1,3.99
2025-11-11,S-07,HH-005,Household,57,56,0,12.49
2025-11-23,S-07,HH-004,Household,115,113,0,2.99
2025-11-21,S-09,FP-001,Fresh Produce,58,53,2,2.49
2025-12-14,S-10,HH-002,Household,61,57,1,3.49
2025-11-26,S-04,MT-003,Meat,80,69,6,8.99
2025-10-22,S-02,FZ-004,Frozen,85,84,1,7.49
2025-10-31,S-05,BK-005,Bakery,45,44,1,6.29
2025-11-01,S-08,PT-005,Pantry,118,115,0,4.99
2025-11-23,S-10,BK-003,Bakery,111,100,8,4.99
2025-11-21,S-04,DA-005,Dairy,103,96,7,4.99
2025-11-24,S-04,BK-002,Bakery,109,103,6,7.49
2025-12-11,S-04,DA-003,Dairy,78,73,2,6.99
2025-12-25,S-09,PT-001,Pantry,96,92,1,1.99
2025-12-18,S-09,SN-003,Snacks,90,88,1,5.49
2025-11-30,S-08,FZ-002,Frozen,116,114,0,5.49
2025-12-06,S-08,HH-001,Household,50,46,1,11.99
2025-10-10,S-05,FZ-001,Frozen,54,51,1,8.99
2025-12-09,S-02,DA-004,Dairy,39,33,1,3.29
2025-10-20,S-04,FP-005,Fresh Produce,73,66,3,6.49
2025-11-29,S-07,FP-004,Fresh Produce,46,16,27,5.99
2025-12-14,S-01,HL-004,Health,93,89,1,9.99
2025-10-01,S-06,FZ-005,Frozen,116,112,1,3.99
2025-12-08,S-09,PT-004,Pantry,48,46,1,3.49
2025-11-04,S-07,MT-002,Meat,23,17,1,7.49
2025-12-26,S-07,HL-002,Health,41,39,1,3.99
2025-12-19,S-09,FP-002,Fresh Produce,70,61,4,3.99
2025-10-04,S-02,HH-002,Household,74,71,0,3.49
2025-10-24,S-01,FZ-002,Frozen,68,66,1,5.49
2025-11-28,S-06,BV-002,Beverages,117,114,1,5.99
2025-11-23,S-05,DA-001,Dairy,80,75,1,4.79
2025-10-07,S-06,BK-005,Bakery,103,96,2,6.29
2025-10-06,S-01,FZ-001,Frozen,45,44,0,8.99
2025-10-31,S-03,MT-001,Meat,105,101,3,9.99
2025-11-29,S-05,HL-005,Health,67,67,0,4.49
2025-10-21,S-05,DA-002,Dairy,94,90,2,5.49
2025-12-13,S-07,SN-001,Snacks,111,111,0,4.29
2025-12-15,S-04,DA-002,Dairy,109,96,8,5.49
2025-12-16,S-02,PT-002,Pantry,120,118,0,2.49
2025-12-08,S-07,HH-003,Household,67,65,0,8.99
2025-10-02,S-07,MT-002,Meat,33,30,1,7.49
2025-12-21,S-08,HL-001,Health,39,37,1,14.99
2025-12-06,S-05,PT-005,Pantry,88,84,1,4.99
2025-11-25,S-10,FZ-003,Frozen,61,61,0,2.99
2025-11-05,S-08,FZ-001,Frozen,116,112,1,8.99
2025-11-13,S-01,MT-002,Meat,61,58,2,7.49
2025-11-15,S-05,BV-002,Beverages,55,54,1,5.99
2025-12-06,S-04,DA-001,Dairy,50,44,3,4.79
2025-12-11,S-04,HH-005,Household,80,76,1,12.49
2025-10-03,S-02,FZ-004,Frozen,48,46,1,7.49
2025-11-09,S-10,BV-004,Beverages,80,76,1,4.49
2025-12-10,S-06,BV-003,Beverages,109,106,1,12.99
2025-11-09,S-05,BK-005,Bakery,35,31,2,6.29
2025-10-16,S-09,HL-004,Health,108,107,0,9.99
2025-10-28,S-08,FZ-003,Frozen,112,108,2,2.99
2025-10-13,S-04,FZ-004,Frozen,49,47,1,7.49
2025-11-08,S-01,HL-001,Health,88,86,0,14.99
2025-10-06,S-01,PT-001,Pantry,57,54,0,1.99
2025-10-14,S-01,PT-002,Pantry,56,52,1,2.49
2025-11-26,S-06,BK-002,Bakery,26,22,1,7.49
2025-10-15,S-02,SN-001,Snacks,82,82,0,4.29
2025-10-20,S-03,PT-002,Pantry,58,57,0,2.49
2025-10-16,S-09,HL-004,Health,73,70,0,9.99
2025-11-27,S-08,FZ-005,Frozen,95,92,1,3.99
2025-12-12,S-10,FP-004,Fresh Produce,98,89,9,5.99
2025-10-27,S-04,FZ-002,Frozen,104,103,0,5.49
2025-10-31,S-03,PT-001,Pantry,29,29,0,1.99
2025-11-22,S-08,HH-005,Household,96,93,1,12.49
2025-10-05,S-04,FZ-004,Frozen,110,106,1,7.49
2025-10-10,S-04,FZ-002,Frozen,120,117,2,5.49
2025-11-24,S-02,MT-005,Meat,48,43,3,7.99
2025-10-19,S-02,FP-004,Fresh Produce,41,34,3,5.99
2025-12-12,S-05,SN-004,Snacks,35,32,1,3.99
2025-12-29,S-07,FZ-003,Frozen,84,80,1,2.99
2025-10-11,S-10,FP-003,Fresh Produce,75,66,5,4.29
2025-11-02,S-01,DA-001,Dairy,49,41,4,4.79
2025-12-15,S-01,HL-004,Health,106,105,1,9.99
2025-10-23,S-08,MT-004,Meat,103,96,5,6.49
2025-10-24,S-10,SN-003,Snacks,101,100,1,5.49
2025-11-30,S-06,SN-002,Snacks,62,61,1,8.99
2025-10-21,S-06,SN-002,Snacks,108,105,1,8.99
2025-12-24,S-07,HL-004,Health,90,87,0,9.99
2025-10-12,S-06,FZ-002,Frozen,61,58,0,5.49
2025-12-05,S-01,HH-003,Household,89,85,1,8.99
2025-10-07,S-04,MT-004,Meat,66,59,4,6.49
2025-12-20,S-08,HL-004,Health,26,24,0,9.99
2025-12-10,S-03,FZ-004,Frozen,76,75,1,7.49
2025-10-04,S-10,FZ-001,Frozen,110,108,0,8.99
2025-12-10,S-01,PT-001,Pantry,72,71,0,1.99
2025-10-15,S-08,DA-003,Dairy,102,91,8,6.99
2025-11-07,S-09,HL-001,Health,54,50,1,14.99
2025-11-30,S-04,SN-005,Snacks,90,87,0,4.49
2025-10-25,S-10,MT-003,Meat,115,105,10,8.99
2025-11-05,S-07,BV-002,Beverages,120,116,2,5.99
2025-10-01,S-05,HL-002,Health,58,56,1,3.99
2025-11-27,S-09,MT-001,Meat,64,58,2,9.99
2025-11-18,S-08,BV-001,Beverages,44,41,0,6.49
2025-10-30,S-07,FP-003,Fresh Produce,60,22,35,4.29
2025-11-19,S-03,MT-002,Meat,24,20,0,7.49
2025-11-12,S-02,SN-004,Snacks,32,31,1,3.99
2025-10-19,S-07,HH-002,Household,39,36,0,3.49
2025-11-03,S-06,PT-005,Pantry,108,107,1,4.99
2025-11-12,S-09,BV-005,Beverages,60,59,1,3.99
2025-12-19,S-02,FZ-001,Frozen,100,96,2,8.99
2025-10-30,S-02,SN-003,Snacks,32,29,0,5.49
2025-10-22,S-05,FP-002,Fresh Produce,25,24,1,3.99
2025-11-07,S-06,BV-004,Beverages,75,74,0,4.49
2025-12-07,S-07,PT-002,Pantry,107,106,0,2.49
2025-10-23,S-02,PT-005,Pantry,68,65,0,4.99
2025-12-14,S-03,BK-005,Bakery,79,71,5,6.29
2025-11-02,S-01,SN-005,Snacks,56,56,0,4.49
2025-11-26,S-06,PT-003,Pantry,58,55,1,8.99
2025-11-28,S-05,BK-003,Bakery,69,63,6,4.99
2025-10-31,S-07,PT-002,Pantry,65,62,1,2.49
2025-10-03,S-07,FZ-003,Frozen,21,18,0,2.99
2025-11-06,S-04,PT-004,Pantry,65,64,0,3.49
2025-12-19,S-05,HH-004,Household,116,113,2,2.99
2025-12-20,S-02,HH-001,Household,102,100,0,11.99
2025-11-26,S-01,PT-003,Pantry,66,66,0,8.99
2025-11-07,S-06,HL-003,Health,73,72,0,5.49
2025-10-17,S-09,BV-004,Beverages,87,85,1,4.49
2025-11-02,S-08,FZ-004,Frozen,115,114,1,7.49
2025-11-29,S-02,DA-005,Dairy,116,100,11,4.99
2025-12-26,S-07,PT-001,Pantry,66,63,0,1.99
2025-10-02,S-05,MT-005,Meat,35,29,1,7.99
2025-12-26,S-05,PT-003,Pantry,68,67,1,8.99
2025-12-26,S-04,MT-001,Meat,23,18,1,9.99
2025-11-11,S-10,BK-005,Bakery,102,97,2,6.29
2025-12-29,S-05,HH-002,Household,72,71,0,3.49
2025-10-06,S-01,FZ-005,Frozen,83,83,0,3.99
2025-10-31,S-09,DA-004,Dairy,69,61,3,3.29
2025-12-29,S-09,SN-002,Snacks,95,92,0,8.99
2025-12-23,S-02,MT-002,Meat,98,91,5,7.49
2025-10-05,S-06,BK-004,Bakery,76,71,4,3.49
2025-11-16,S-02,HH-004,Household,67,66,1,2.99
2025-11-20,S-05,BK-003,Bakery,35,29,3,4.99
2025-10-12,S-04,HH-002,Household,101,99,2,3.49
2025-10-07,S-06,FZ-001,Frozen,36,36,0,8.99
2025-12-10,S-04,PT-003,Pantry,47,45,0,8.99
2025-10-19,S-10,FP-001,Fresh Produce,55,50,4,2.49
2025-10-17,S-09,FZ-002,Frozen,42,42,0,5.49
2025-10-17,S-01,BV-003,Beverages,120,118,0,12.99
2025-10-03,S-03,FZ-002,Frozen,26,23,0,5.49
2025-12-07,S-02,HL-003,Health,28,24,1,5.49
2025-11-16,S-09,PT-003,Pantry,33,31,1,8.99
2025-12-18,S-01,HL-002,Health,120,116,2,3.99
2025-11-28,S-01,FP-004,Fresh Produce,81,71,7,5.99
2025-12-27,S-02,MT-002,Meat,111,101,10,7.49
2025-10-11,S-06,PT-004,Pantry,38,37,0,3.49
2025-11-05,S-10,HH-001,Household,94,90,1,11.99
2025-12-16,S-09,FZ-004,Frozen,78,77,1,7.49
2025-12-29,S-02,HH-002,Household,103,100,2,3.49
2025-11-25,S-08,BK-005,Bakery,72,66,3,6.29
2025-11-21,S-07,HL-002,Health,32,28,1,3.99
2025-11-10,S-05,BV-004,Beverages,39,38,1,4.49
2025-10-12,S-02,DA-001,Dairy,75,68,2,4.79
2025-11-17,S-03,PT-001,Pantry,27,26,1,1.99
2025-11-22,S-06,HH-003,Household,116,115,1,8.99
2025-11-06,S-10,FZ-005,Frozen,65,64,0,3.99
2025-10-20,S-08,BK-005,Bakery,33,28,1,6.29
2025-11-17,S-02,HL-004,Health,55,52,0,9.99
2025-12-11,S-10,PT-005,Pantry,106,104,2,4.99
2025-12-17,S-05,FP-002,Fresh Produce,43,40,1,3.99
2025-11-13,S-06,FP-001,Fresh Produce,43,36,3,2.49
2025-12-24,S-07,FP-005,Fresh Produce,38,16,22,6.49
2025-10-12,S-09,BK-004,Bakery,68,63,3,3.49
2025-10-21,S-06,FZ-005,Frozen,112,111,1,3.99
2025-10-07,S-03,BK-001,Bakery,116,103,8,5.99
2025-10-11,S-05,SN-004,Snacks,104,100,1,3.99
2025-12-17,S-08,SN-002,Snacks,54,54,0,8.99
2025-11-14,S-07,DA-003,Dairy,56,48,4,6.99
2025-12-02,S-09,HH-003,Household,59,58,0,8.99
2025-11-20,S-10,FP-004,Fresh Produce,20,19,0,5.99
2025-10-18,S-05,FZ-004,Frozen,61,61,0,7.49
2025-12-03,S-07,BK-002,Bakery,36,30,1,7.49
2025-10-30,S-09,PT-001,Pantry,105,104,1,1.99
2025-11-20,S-01,SN-003,Snacks,22,21,1,5.49
2025-11-10,S-10,SN-003,Snacks,93,89,1,5.49
2025-11-07,S-02,SN-001,Snacks,22,20,1,4.29
2025-12-19,S-08,HH-005,Household,66,63,0,12.49
2025-10-14,S-04,SN-003,Snacks,95,94,1,5.49
2025-11-20,S-05,HL-003,Health,63,61,0,5.49
2025-10-22,S-02,MT-003,Meat,101,95,2,8.99
2025-10-25,S-06,BV-003,Beverages,113,110,2,12.99
2025-10-31,S-02,DA-005,Dairy,52,47,1,4.99
2025-10-20,S-02,BK-002,Bakery,118,107,8,7.49
2025-12-12,S-10,SN-004,Snacks,107,103,2,3.99
2025-12-20,S-06,DA-005,Dairy,76,72,1,4.99
2025-12-20,S-05,FZ-003,Frozen,95,93,0,2.99
2025-12-04,S-02,FZ-005,Frozen,79,78,1,3.99
2025-10-08,S-06,FZ-004,Frozen,29,26,0,7.49
2025-11-29,S-10,PT-001,Pantry,114,111,0,1.99
2025-12-13,S-04,BV-001,Beverages,97,95,1,6.49
2025-10-08,S-08,DA-002,Dairy,63,57,6,5.49
2025-12-04,S-03,FP-003,Fresh Produce,51,45,3,4.29
2025-12-07,S-09,PT-005,Pantry,40,37,1,4.99
2025-11-06,S-07,SN-002,Snacks,119,118,1,8.99
2025-12-20,S-06,FP-005,Fresh Produce,62,56,1,6.49
2025-11-19,S-05,FZ-002,Frozen,112,109,2,5.49
2025-11-12,S-02,PT-003,Pantry,104,102,0,8.99
2025-11-09,S-07,DA-004,Dairy,96,89,7,3.29
2025-11-09,S-09,BV-005,Beverages,102,100,1,3.99
2025-12-25,S-09,DA-001,Dairy,102,91,7,4.79
2025-11-16,S-01,BV-004,Beverages,59,58,0,4.49
2025-11-13,S-08,BK-003,Bakery,48,43,4,4.99
2025-10-10,S-05,DA-002,Dairy,84,73,6,5.49
2025-12-07,S-01,HH-003,Household,63,60,0,8.99
2025-10-20,S-03,BK-002,Bakery,108,99,8,7.49
2025-11-26,S-01,SN-002,Snacks,66,63,0,8.99
2025-12-18,S-05,HL-004,Health,115,113,1,9.99
2025-12-08,S-04,FZ-005,Frozen,120,118,1,3.99
2025-11-17,S-10,SN-004,Snacks,79,75,1,3.99
2025-12-04,S-09,SN-002,Snacks,40,39,0,8.99
2025-11-02,S-01,HH-002,Household,81,80,1,3.49
2025-12-06,S-02,FZ-004,Frozen,30,28,0,7.49
2025-11-27,S-09,DA-005,Dairy,75,72,2,4.99
2025-11-27,S-06,FP-002,Fresh Produce,73,68,1,3.99
2025-11-17,S-04,BV-005,Beverages,30,28,1,3.99
2025-10-04,S-06,DA-002,Dairy,111,103,7,5.49
2025-10-18,S-01,FZ-004,Frozen,80,77,0,7.49
2025-11-27,S-10,FP-001,Fresh Produce,30,29,0,2.49
2025-10-20,S-09,HL-002,Health,97,96,1,3.99
2025-11-06,S-04,FZ-005,Frozen,35,34,0,3.99
2025-11-23,S-10,SN-005,Snacks,28,25,0,4.49
2025-12-16,S-09,FP-002,Fresh Produce,100,93,6,3.99
2025-10-19,S-05,SN-003,Snacks,20,18,1,5.49
2025-12-13,S-07,BK-002,Bakery,105,94,7,7.49
2025-11-16,S-02,MT-004,Meat,89,80,5,6.49
2025-12-10,S-01,BV-005,Beverages,80,77,0,3.99
2025-11-17,S-05,HL-003,Health,22,21,1,5.49
2025-11-14,S-04,HL-002,Health,104,102,2,3.99
2025-12-14,S-06,DA-004,Dairy,25,22,1,3.29
2025-12-22,S-03,HL-005,Health,107,103,1,4.49
2025-12-20,S-03,DA-004,Dairy,28,23,2,3.29
2025-10-05,S-05,BK-003,Bakery,25,23,2,4.99
2025-11-10,S-05,MT-003,Meat,70,60,6,8.99
2025-11-30,S-05,FP-003,Fresh Produce,116,106,8,4.29
2025-11-15,S-01,HH-002,Household,62,61,1,3.49
2025-11-17,S-07,SN-001,Snacks,115,111,1,4.29
2025-11-13,S-03,MT-002,Meat,108,98,6,7.49
2025-11-04,S-02,HL-002,Health,74,71,0,3.99
2025-12-17,S-03,MT-005,Meat,57,55,2,7.99
2025-11-11,S-05,FZ-005,Frozen,77,75,1,3.99
2025-12-28,S-08,BV-003,Beverages,77,75,0,12.99
2025-12-18,S-07,FZ-003,Frozen,101,101,0,2.99
2025-12-25,S-07,BV-004,Beverages,85,85,0,4.49
2025-10-19,S-10,HH-004,Household,120,119,1,2.99
2025-10-17,S-02,FZ-001,Frozen,119,115,2,8.99
2025-11-16,S-07,PT-002,Pantry,24,21,0,2.49
2025-11-17,S-06,SN-004,Snacks,117,116,0,3.99
2025-12-07,S-06,SN-001,Snacks,60,58,1,4.29
2025-10-15,S-01,HL-003,Health,43,39,1,5.49
2025-12-11,S-02,FZ-002,Frozen,119,115,1,5.49
2025-10-28,S-10,FZ-004,Frozen,108,106,1,7.49
2025-10-16,S-03,FP-005,Fresh Produce,77,70,2,6.49
2025-11-26,S-02,HH-004,Household,60,59,1,2.99
2025-12-10,S-09,FZ-004,Frozen,58,57,0,7.49
2025-11-16,S-09,BK-005,Bakery,35,31,3,6.29
2025-10-31,S-08,FP-002,Fresh Produce,66,60,4,3.99
2025-11-29,S-09,DA-004,Dairy,98,90,8,3.29
2025-11-09,S-07,HL-001,Health,112,108,1,14.99
2025-11-22,S-10,FP-005,Fresh Produce,36,28,3,6.49
2025-10-10,S-08,SN-005,Snacks,107,103,2,4.49
2025-10-17,S-09,HH-001,Household,95,94,0,11.99
2025-11-25,S-09,FP-004,Fresh Produce,35,31,2,5.99
2025-10-22,S-03,BV-001,Beverages,110,108,0,6.49
2025-12-06,S-05,DA-001,Dairy,52,47,1,4.79
2025-11-05,S-03,HH-001,Household,58,57,0,11.99
2025-12-15,S-10,DA-005,Dairy,41,34,2,4.99
2025-12-17,S-06,PT-002,Pantry,25,25,0,2.49
2025-10-06,S-10,FZ-002,Frozen,103,100,0,5.49
2025-12-19,S-01,MT-002,Meat,100,89,6,7.49
2025-11-08,S-08,FZ-001,Frozen,107,104,1,8.99
2025-11-28,S-02,HH-005,Household,27,24,0,12.49
2025-11-23,S-08,SN-005,Snacks,46,44,1,4.49
2025-11-10,S-06,HL-002,Health,64,62,1,3.99
2025-11-17,S-09,PT-001,Pantry,33,31,1,1.99
2025-11-29,S-02,FZ-003,Frozen,77,76,0,2.99
2025-10-13,S-01,FZ-004,Frozen,69,67,1,7.49
2025-10-21,S-06,PT-002,Pantry,112,110,1,2.49
2025-10-21,S-08,MT-003,Meat,79,73,4,8.99
2025-12-03,S-01,DA-001,Dairy,70,65,4,4.79
2025-10-28,S-10,BV-003,Beverages,26,24,0,12.99
2025-12-03,S-10,HH-002,Household,106,103,1,3.49
2025-12-08,S-01,DA-002,Dairy,75,71,2,5.49
2025-11-16,S-07,BV-004,Beverages,25,24,1,4.49
2025-12-12,S-09,BK-003,Bakery,66,62,4,4.99
2025-11-19,S-09,SN-004,Snacks,117,113,2,3.99
2025-12-19,S-10,DA-003,Dairy,36,30,3,6.99
2025-11-17,S-06,PT-001,Pantry,66,65,0,1.99
2025-12-17,S-09,SN-001,Snacks,84,84,0,4.29
2025-10-05,S-03,HL-001,Health,62,58,1,14.99
2025-10-20,S-10,MT-003,Meat,37,32,1,8.99
2025-11-10,S-03,SN-001,Snacks,98,95,1,4.29
2025-12-04,S-09,MT-005,Meat,82,74,6,7.99
2025-11-30,S-01,BV-004,Beverages,62,59,0,4.49
2025-12-14,S-05,HL-002,Health,108,106,2,3.99
2025-12-16,S-08,FZ-002,Frozen,103,100,2,5.49
2025-10-07,S-10,MT-001,Meat,41,34,2,9.99
2025-12-19,S-07,DA-005,Dairy,107,99,4,4.99
2025-12-29,S-02,BK-003,Bakery,22,18,1,4.99
2025-10-20,S-07,HH-005,Household,46,42,1,12.49
2025-10-08,S-03,MT-004,Meat,46,39,2,6.49
2025-12-01,S-09,BV-005,Beverages,60,57,0,3.99
2025-12-08,S-06,MT-005,Meat,65,56,4,7.99
2025-12-27,S-05,PT-005,Pantry,81,80,0,4.99
2025-11-05,S-09,FZ-005,Frozen,48,45,1,3.99
2025-10-27,S-08,BV-001,Beverages,81,78,1,6.49
2025-11-06,S-02,PT-002,Pantry,106,101,2,2.49
2025-11-20,S-06,HL-005,Health,38,37,1,4.49
2025-11-06,S-02,BV-003,Beverages,76,72,1,12.99
2025-10-28,S-04,MT-005,Meat,54,44,5,7.99
2025-11-04,S-03,DA-002,Dairy,98,90,7,5.49
2025-11-01,S-01,HH-003,Household,87,86,0,8.99
2025-10-07,S-02,SN-002,Snacks,62,61,1,8.99
2025-12-27,S-03,FP-001,Fresh Produce,90,81,8,2.49
2025-11-22,S-08,MT-001,Meat,103,98,3,9.99
2025-11-11,S-05,HH-002,Household,27,26,0,3.49
2025-12-08,S-01,BK-002,Bakery,73,66,6,7.49
2025-10-05,S-07,MT-002,Meat,43,37,4,7.49
2025-10-05,S-01,FZ-005,Frozen,92,90,0,3.99
2025-11-06,S-08,HH-002,Household,89,87,1,3.49
2025-12-04,S-08,FZ-003,Frozen,44,42,0,2.99
2025-10-21,S-08,HH-002,Household,52,52,0,3.49
2025-11-13,S-05,PT-002,Pantry,106,105,0,2.49
2025-12-18,S-07,SN-003,Snacks,85,84,1,5.49
2025-11-21,S-02,BK-002,Bakery,37,34,2,7.49
2025-10-01,S-05,BV-005,Beverages,50,47,1,3.99
2025-11-12,S-05,PT-003,Pantry,112,110,2,8.99
2025-11-03,S-06,HH-005,Household,50,50,0,12.49
2025-11-29,S-05,BK-001,Bakery,71,61,5,5.99
2025-11-09,S-02,HH-001,Household,57,55,1,11.99
2025-10-29,S-03,MT-001,Meat,39,33,2,9.99
2025-11-17,S-07,HH-005,Household,90,88,1,12.49
2025-11-01,S-10,DA-001,Dairy,87,78,4,4.79
2025-11-16,S-02,PT-002,Pantry,34,33,0,2.49
2025-12-13,S-09,DA-005,Dairy,41,36,1,4.99
2025-11-26,S-02,HH-004,Household,46,45,1,2.99
2025-12-05,S-08,FP-004,Fresh Produce,78,73,2,5.99
2025-11-28,S-10,FP-004,Fresh Produce,91,84,5,5.99
2025-10-03,S-07,FZ-002,Frozen,20,20,0,5.49
2025-10-06,S-07,BV-003,Beverages,109,109,0,12.99
2025-10-09,S-08,FP-003,Fresh Produce,56,53,2,4.29
2025-12-22,S-07,BV-004,Beverages,68,64,1,4.49
2025-11-18,S-02,HH-004,Household,104,101,2,2.99
2025-12-23,S-06,DA-003,Dairy,42,35,4,6.99
2025-12-07,S-03,HL-002,Health,48,48,0,3.99
2025-11-08,S-08,HH-004,Household,112,107,2,2.99
2025-12-08,S-07,BK-005,Bakery,51,48,2,6.29
2025-11-05,S-04,HL-002,Health,117,117,0,3.99
2025-12-24,S-07,PT-005,Pantry,118,117,0,4.99
2025-10-27,S-02,DA-002,Dairy,96,90,2,5.49
2025-12-26,S-01,FZ-001,Frozen,114,111,0,8.99
2025-11-26,S-04,MT-005,Meat,47,44,3,7.99
2025-10-18,S-09,FZ-004,Frozen,49,46,1,7.49
2025-10-31,S-05,DA-005,Dairy,104,95,6,4.99
2025-11-08,S-05,FP-004,Fresh Produce,91,78,8,5.99
2025-10-23,S-07,PT-001,Pantry,83,81,0,1.99
2025-12-22,S-07,MT-004,Meat,60,53,4,6.49
2025-10-20,S-05,BV-005,Beverages,43,41,1,3.99
2025-10-29,S-05,HL-001,Health,38,37,1,14.99
2025-12-11,S-07,SN-002,Snacks,91,88,0,8.99
2025-11-01,S-05,BK-004,Bakery,62,55,4,3.49
2025-11-17,S-02,MT-005,Meat,112,103,9,7.99
2025-11-04,S-07,HH-004,Household,97,97,0,2.99
2025-10-25,S-10,HL-002,Health,105,102,2,3.99
2025-12-01,S-04,BV-002,Beverages,58,57,0,5.99
2025-10-25,S-02,HL-003,Health,116,114,1,5.49
2025-12-29,S-10,HL-001,Health,46,44,1,14.99
2025-12-10,S-06,HL-005,Health,56,52,1,4.49
